Designator,Mid X,Mid Y,Rotation,Layer
C103,47.6,76.6,90.0,top
C104,51.4,67.8,0.0,top
C105,36.8,67.8,0.0,top
C107,60.4,76.8,0.0,top
C111,55.0,83.6,0.0,bottom
C114,56.6,76.8,180.0,top
C207,35.8,82.4,90.0,bottom
C301,24.35,77.4,0.0,bottom
C302,30.4,82.4,180.0,bottom
C303,22.4,82.4,0.0,bottom
C304,22.45,62.2,0.0,bottom
C305,24.35,79.45,0.0,bottom
C312,27.2,65.2,90.0,bottom
C322,29.2,67.6,0.0,top
D201,38.2,77.8,0.0,bottom
D301,23.2,66.2,0.0,bottom
D302,69.3125,83.3,0.0,bottom
D303,35.6,76.8,0.0,top
D304,69.3125,83.3,0.0,top
F301,28.8,79.4,180.0,bottom
J301,23.0,72.2,270.0,top
J302,61.42,73.690331,180.0,bottom
L301,29.8,77.0,0.0,top
L302,32.2,78.4,270.0,bottom
R109,45.0,67.8,0.0,top
R110,39.4,65.0,270.0,bottom
R119,55.0,82.0,0.0,bottom
R122,41.6,76.6,270.0,top
R123,39.4,62.025,270.0,bottom
R124,59.6,83.6,180.0,bottom
R125,55.4,79.4,270.0,bottom
R126,48.2,67.8,180.0,top
R127,40.6,67.8,180.0,top
R128,27.2,61.8,270.0,bottom
R129,63.2,83.6,0.0,bottom
R205,33.2,67.8,0.0,top
R304,70.25,80.5,270.0,bottom
R307,52.0,76.8,180.0,top
R308,46.0,76.6,90.0,top
R311,62.4,66.4,90.0,bottom
R312,64.0,66.4,90.0,bottom
R313,59.2,66.4,90.0,bottom
R314,57.6,66.4,90.0,bottom
R315,60.8,66.4,90.0,bottom
R317,40.0,76.6,270.0,top
R318,44.4,76.6,90.0,top
RN301,38.8,81.8,0.0,bottom
RN302,42.25,62.75,180.0,bottom
U1,44.8,72.2,90.0,top
U101,32.4,63.4,180.0,bottom
U102,61.5,79.8,180.0,bottom
U105,46.8,80.6,180.0,bottom
U106,51.75,64.0,0.0,bottom
U301,20.4,78.6,0.0,bottom
