Designator,Footprint,Quantity,Value,LCSC Part #
"C103, C104, C105, C107, C312",0603,5,100nF,C14663
C111,0603,1,12pF,C38523
"C114, C207, C301, C305, C322",0805,5,10uF,C15850
"C302, C303, C304",CP_EIA-6032-15_Kemet-U_Pad2.25x2.35mm_HandSolder,3,220uF,C8023
"D201, D301, D303",D_SOD-123,3,D_Schottky,C8598
"D302, D304",0805,2,LED,n/a
F301,1206,1,500mA Hold,C369160
J301,microsd_molex_1051620001,1,Micro_SD_Card_Det1,n/a
J302,DSUB-25_Male_Vertical_Small Courtyard,1,DB25_Plug,D25P24B4PA00LF
"L301, L302",0603,2,Ferrite_Bead_Small,C1002
"R109, R110, R119",0603,3,110,C22781
"R122, R123, R124, R125, R317",0603,5,1k,C21190
"R126, R127, R128, R129, R205, R307, R308, R311, R312, R313, R314, R315, R318",0603,13,4k7,C23162
R304,0603,1,51,C23197
"RN301, RN302",R_Array_Convex_8x0602,2,120,C1731305
U1,RPi_Pico_W_SMD headers,1,Pico W,N/A
"U101, U102",SSOP_TSSOP-14_4.4x5mm_Pitch0.65mm_PCBWay-MaskClearance0.22mm,2,74LVT125,C7042
"U105, U106",SSOP_TSSOP-20_5.3x7.2mm_P0.65mm,2,74LVT245,C7057
U301,SOT-23-5,1,TLV75728PDBVR,C2863639
