Designator,Mid X,Mid Y,Rotation,Layer
C1,52.525,83.6,0.0,bottom
C10,31.6,79.5,0.0,bottom
C11,30.4,82.4,180.0,bottom
C12,23.6,67.0,180.0,bottom
C13,23.6,65.2,180.0,bottom
C14,47.9,62.85,270.0,bottom
C15,35.6,81.0,270.0,bottom
C2,55.65,83.6,180.0,bottom
C3,62.2,64.8,0.0,bottom
C4,64.7,65.3,270.0,bottom
C5,48.7,66.425,90.0,bottom
C6,68.46,80.6,270.0,bottom
C7,31.6,77.5,0.0,bottom
C8,22.4,82.4,0.0,bottom
C9,22.45,62.2,180.0,bottom
D1,27.0,67.0,0.0,bottom
D2,28.6,78.6,90.0,bottom
D3,69.3125,83.3,0.0,bottom
F1,20.6,79.3,180.0,bottom
J1,61.42,73.6903,180.0,bottom
J2,23.0,72.2,270.0,top
L1,20.7,77.25,180.0,bottom
R1,52.6,67.0,0.0,bottom
R10,38.35,80.4,180.0,bottom
R11,38.35,82.0,180.0,bottom
R12,47.1,66.425,270.0,bottom
R13,62.3,66.8,0.0,bottom
R14,55.675,78.8,0.0,bottom
R15,70.11,80.6,270.0,bottom
R16,20.2,67.0,180.0,bottom
R17,38.375,77.2,0.0,bottom
R18,69.285,78.2,180.0,bottom
R19,52.55,80.4,180.0,bottom
R2,55.65,82.0,0.0,bottom
R20,38.35,83.6,180.0,bottom
R21,52.55,82.0,180.0,bottom
R22,52.55,78.8,0.0,bottom
R23,52.5477,77.191,0.0,bottom
R24,34.675,62.175,270.0,bottom
R25,33.075,62.175,270.0,bottom
R26,31.475,62.175,270.0,bottom
R27,29.875,62.175,270.0,bottom
R28,29.875,66.475,90.0,bottom
R29,31.475,66.475,270.0,bottom
R3,35.25,77.2,180.0,bottom
R30,33.075,66.475,270.0,bottom
R31,34.675,66.475,270.0,bottom
R32,70.7,65.3,90.0,bottom
R33,69.2,65.3,90.0,bottom
R34,67.7,65.3,90.0,bottom
R35,66.2,65.3,90.0,bottom
R4,55.65,80.4,0.0,bottom
R5,60.825,83.55,0.0,bottom
R6,28.275,62.175,90.0,bottom
R7,55.6,67.0,0.0,bottom
R8,38.35,78.8,180.0,bottom
R9,64.0,83.55,0.0,bottom
U1,54.175,63.1,180.0,bottom
U2,45.5,80.325,180.0,bottom
U3,62.4,79.75,180.0,bottom
U4,41.075,64.1,0.0,bottom
U5,25.5,78.7,0.0,bottom
U6,44.8,72.2,90.0,top
